dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_377	NA	0.15384615384615385	0.5192307692307693	0.3269230769230769	52	0.4807692307692308
DGRP_378	F	0.037037037037037035	0.7407407407407407	0.2222222222222222	27	0.25925925925925924
DGRP_378	M	0.07317073170731707	0.7317073170731707	0.1951219512195122	41	0.2682926829268293
DGRP_378	NA	0.043478260869565216	0.43478260869565216	0.5217391304347826	23	0.5652173913043478
DGRP_379	F	0.1	0.575	0.325	80	0.42500000000000004
DGRP_379	M	0.2558139534883721	0.5697674418604651	0.1744186046511628	86	0.43023255813953487
DGRP_379	NA	0.35714285714285715	0.5714285714285714	0.07142857142857142	56	0.4285714285714286
DGRP_380	F	0.1794871794871795	0.6538461538461539	0.16666666666666666	78	0.34615384615384615
DGRP_380	M	0.32142857142857145	0.5833333333333334	0.09523809523809523	84	0.4166666666666667
DGRP_380	NA	0.017857142857142856	0.5892857142857143	0.39285714285714285	56	0.4107142857142857
DGRP_381	F	0.21212121212121213	0.7575757575757576	0.030303030303030304	66	0.24242424242424243
DGRP_381	M	0.1506849315068493	0.7397260273972602	0.1095890410958904	73	0.2602739726027397
DGRP_381	NA	0.19230769230769232	0.5961538461538461	0.21153846153846154	52	0.40384615384615385
DGRP_382	F	0.36363636363636365	0.4909090909090909	0.14545454545454545	55	0.509090909090909
DGRP_382	M	0.16666666666666666	0.75	0.08333333333333333	36	0.25
DGRP_382	NA	0.047619047619047616	0.8571428571428571	0.09523809523809523	21	0.14285714285714285
DGRP_383	F	0.1	0.8571428571428571	0.04285714285714286	70	0.14285714285714285
DGRP_383	M	0.0875	0.8125	0.1	80	0.1875
DGRP_383	NA	0.1276595744680851	0.7659574468085106	0.10638297872340426	47	0.23404255319148937
DGRP_385	F	0.2222222222222222	0.7407407407407407	0.037037037037037035	54	0.25925925925925924
DGRP_385	M	0.05555555555555555	0.75	0.19444444444444445	36	0.25
DGRP_385	NA	NA	0.5714285714285714	0.42857142857142855	21	0.42857142857142855
DGRP_386	F	0.18571428571428572	0.5	0.3142857142857143	70	0.5
DGRP_386	M	0.2033898305084746	0.6610169491525424	0.13559322033898305	59	0.3389830508474576
DGRP_386	NA	0.4375	0.5416666666666666	0.020833333333333332	48	0.4583333333333333
DGRP_387	F	0.043478260869565216	0.8260869565217391	0.13043478260869565	23	0.17391304347826086
DGRP_387	M	NA	0.625	0.375	8	0.375
DGRP_387	NA	NA	0.5	0.5	2	0.5
DGRP_390	F	0.2608695652173913	0.5652173913043478	0.17391304347826086	23	0.43478260869565216
